,key,population,aggregate,cum_diagnoses,cum_deaths,cum_recovered,cum_active,cum_tests,cum_hospitalized,hospitalized_current,cum_discharged,icu,icu_current,date,day,diagnoses,deaths,tests,hospitalized,discharged,recovered,active
372584,Germany,83149300.0,country,1.0,,,1.0,,,,,,,2020-01-27,0,1.0,,,,,,1.0
372585,Germany,83149300.0,country,4.0,,,4.0,,,,,,,2020-01-28,1,3.0,,,,,,3.0
372586,Germany,83149300.0,country,4.0,,,4.0,,,,,,,2020-01-29,2,0.0,,,,,,0.0
372587,Germany,83149300.0,country,4.0,,,4.0,,,,,,,2020-01-30,3,0.0,,,,,,0.0
372588,Germany,83149300.0,country,5.0,,,5.0,,,,,,,2020-01-31,4,1.0,,,,,,1.0
372589,Germany,83149300.0,country,8.0,,,8.0,,,,,,,2020-02-01,5,3.0,,,,,,3.0
372590,Germany,83149300.0,country,10.0,,,10.0,,,,,,,2020-02-02,6,2.0,,,,,,2.0
372591,Germany,83149300.0,country,12.0,,,12.0,,,,,,,2020-02-03,7,2.0,,,,,,2.0
372592,Germany,83149300.0,country,12.0,,,12.0,,,,,,,2020-02-04,8,0.0,,,,,,0.0
372593,Germany,83149300.0,country,12.0,,,12.0,,,,,,,2020-02-05,9,0.0,,,,,,0.0
372594,Germany,83149300.0,country,12.0,,,12.0,,,,,,,2020-02-06,10,0.0,,,,,,0.0
372595,Germany,83149300.0,country,13.0,,,13.0,,,,,,,2020-02-07,11,1.0,,,,,,1.0
372596,Germany,83149300.0,country,13.0,,,13.0,,,,,,,2020-02-08,12,0.0,,,,,,0.0
372597,Germany,83149300.0,country,14.0,,,14.0,,,,,,,2020-02-09,13,1.0,,,,,,1.0
372598,Germany,83149300.0,country,14.0,,,14.0,,,,,,,2020-02-10,14,0.0,,,,,,0.0
372599,Germany,83149300.0,country,16.0,,,16.0,,,,,,,2020-02-11,15,2.0,,,,,,2.0
372600,Germany,83149300.0,country,16.0,,,16.0,,,,,,,2020-02-12,16,0.0,,,,,,0.0
372601,Germany,83149300.0,country,16.0,,1.0,15.0,,,,,,,2020-02-13,17,0.0,,,,,1.0,-1.0
372602,Germany,83149300.0,country,16.0,,1.0,15.0,,,,,,,2020-02-14,18,0.0,,,,,0.0,0.0
372603,Germany,83149300.0,country,16.0,,1.0,15.0,,,,,,,2020-02-15,19,0.0,,,,,0.0,0.0
372604,Germany,83149300.0,country,16.0,,1.0,15.0,,,,,,,2020-02-16,20,0.0,,,,,0.0,0.0
372605,Germany,83149300.0,country,16.0,,1.0,15.0,,,,,,,2020-02-17,21,0.0,,,,,0.0,0.0
372606,Germany,83149300.0,country,16.0,,12.0,4.0,,,,,,,2020-02-18,22,0.0,,,,,11.0,-11.0
372607,Germany,83149300.0,country,16.0,,12.0,4.0,,,,,,,2020-02-19,23,0.0,,,,,0.0,0.0
372608,Germany,83149300.0,country,16.0,,12.0,4.0,,,,,,,2020-02-20,24,0.0,,,,,0.0,0.0
372609,Germany,83149300.0,country,16.0,,14.0,2.0,,,,,,,2020-02-21,25,0.0,,,,,2.0,-2.0
372610,Germany,83149300.0,country,16.0,,14.0,2.0,,,,,,,2020-02-22,26,0.0,,,,,0.0,0.0
372611,Germany,83149300.0,country,16.0,,14.0,2.0,,,,,,,2020-02-23,27,0.0,,,,,0.0,0.0
372612,Germany,83149300.0,country,16.0,,14.0,2.0,,,,,,,2020-02-24,28,0.0,,,,,0.0,0.0
372613,Germany,83149300.0,country,17.0,,14.0,3.0,,,,,,,2020-02-25,29,1.0,,,,,0.0,1.0
372614,Germany,83149300.0,country,27.0,,15.0,12.0,,,,,,,2020-02-26,30,10.0,,,,,1.0,9.0
372615,Germany,83149300.0,country,46.0,,16.0,30.0,,,,,,,2020-02-27,31,19.0,,,,,1.0,18.0
372616,Germany,83149300.0,country,48.0,,16.0,32.0,,,,,,,2020-02-28,32,2.0,,,,,0.0,2.0
372617,Germany,83149300.0,country,79.0,,16.0,63.0,,,,,,,2020-02-29,33,31.0,,,,,0.0,31.0
372618,Germany,83149300.0,country,130.0,,16.0,114.0,,,,,,,2020-03-01,34,51.0,,,,,0.0,51.0
