,date,new_diagnoses,new_deaths,new_tests
0,2019-12-31,0,0,0
1,2020-01-01,0,0,1022
2,2020-01-02,0,0,1022
3,2020-01-03,0,0,1022
4,2020-01-04,0,0,1022
5,2020-01-05,0,0,1022
6,2020-01-06,0,0,1022
7,2020-01-07,0,0,1022
8,2020-01-08,0,0,1022
9,2020-01-09,0,0,1022
10,2020-01-10,0,0,1022
11,2020-01-11,0,0,1022
12,2020-01-12,0,0,1022
13,2020-01-13,0,0,1022
14,2020-01-14,0,0,1022
15,2020-01-15,0,0,1022
16,2020-01-16,0,0,1022
17,2020-01-17,0,0,1022
18,2020-01-18,0,0,1022
19,2020-01-19,0,0,1022
20,2020-01-20,0,0,1022
21,2020-01-21,0,0,1022
22,2020-01-22,0,0,1022
23,2020-01-23,0,0,1022
24,2020-01-24,0,0,1022
25,2020-01-25,0,0,1022
26,2020-01-26,0,0,1022
27,2020-01-27,0,0,1022
28,2020-01-28,1,0,1022
29,2020-01-29,3,0,1022
30,2020-01-30,0,0,1022
31,2020-01-31,1,0,1022
32,2020-02-01,2,0,1022
33,2020-02-02,1,0,1022
34,2020-02-03,1,0,1022
35,2020-02-04,2,0,1022
36,2020-02-05,0,0,1022
37,2020-02-06,0,0,1022
38,2020-02-07,1,0,1022
39,2020-02-08,1,0,1022
40,2020-02-09,0,0,1022
41,2020-02-10,0,0,1022
42,2020-02-11,0,0,1022
43,2020-02-12,2,0,1022
44,2020-02-13,0,0,1022
45,2020-02-14,0,0,1022
46,2020-02-15,0,0,1022
47,2020-02-16,0,0,1022
48,2020-02-17,0,0,1022
49,2020-02-18,0,0,1022
50,2020-02-19,0,0,1022
51,2020-02-20,0,0,1022
52,2020-02-21,0,0,1022
53,2020-02-22,0,0,1022
54,2020-02-23,0,0,1022
55,2020-02-24,0,0,1022
56,2020-02-25,0,0,1022
57,2020-02-26,2,0,1022
58,2020-02-27,4,0,1022
59,2020-02-28,26,0,1022
60,2020-02-29,10,0,1022
61,2020-03-01,54,0,1022
62,2020-03-02,18,0,1022
63,2020-03-03,28,0,1022
64,2020-03-04,39,0,1022
65,2020-03-05,66,0,1022
66,2020-03-06,138,0,1022
67,2020-03-07,284,0,1022
68,2020-03-08,163,0,1022
69,2020-03-09,55,0,18470
70,2020-03-10,237,2,18470
71,2020-03-11,157,0,18470
72,2020-03-12,271,1,18470
73,2020-03-13,802,2,18470
74,2020-03-14,693,0,18470
75,2020-03-15,733,3,18470
76,2020-03-16,1043,4,53505
77,2020-03-17,1174,1,53505
78,2020-03-18,1144,0,53505
79,2020-03-19,1042,0,53505
80,2020-03-20,5940,30,53505
81,2020-03-21,4049,2,53505
82,2020-03-22,3276,22,53505
83,2020-03-23,3311,27,53943
84,2020-03-24,4438,32,53943
85,2020-03-25,2342,23,53943
86,2020-03-26,4954,49,53943
87,2020-03-27,5780,55,53943
88,2020-03-28,6294,72,53943
89,2020-03-29,3965,64,53943
90,2020-03-30,4751,66,59664
91,2020-03-31,4615,128,59664
92,2020-04-01,5453,149,59664
93,2020-04-02,6156,140,59664
94,2020-04-03,6174,145,59664
95,2020-04-04,6082,141,59664
96,2020-04-05,5936,184,59664
97,2020-04-06,3677,92,54813
98,2020-04-07,3834,173,54813
99,2020-04-08,4003,254,54813
100,2020-04-09,4974,246,54813
101,2020-04-10,5323,266,54813
102,2020-04-11,4133,171,54813
103,2020-04-12,2821,129,54813
104,2020-04-13,2537,126,48569
105,2020-04-14,2082,170,48569
106,2020-04-15,2486,285,48569
107,2020-04-16,2866,315,48569
108,2020-04-17,3380,299,48569
109,2020-04-18,3609,242,48569
110,2020-04-19,2458,184,48569
111,2020-04-20,1775,110,51951
112,2020-04-21,1785,194,51951
113,2020-04-22,2237,281,51951
114,2020-04-23,2352,215,51951
115,2020-04-24,2337,227,51951
116,2020-04-25,2055,179,51951
117,2020-04-26,1737,140,51951
118,2020-04-27,1018,110,46828
119,2020-04-28,1144,163,46828
120,2020-04-29,1304,202,46828
121,2020-04-30,1478,173,46828
122,2020-05-01,1639,193,46828
123,2020-05-02,945,94,46828
124,2020-05-03,793,74,46828
125,2020-05-04,679,43,55091
126,2020-05-05,685,139,55091
127,2020-05-06,947,165,55091
128,2020-05-07,1284,123,55091
129,2020-05-08,1209,147,55091
130,2020-05-09,1251,103,55091
131,2020-05-10,667,26,55091
132,2020-05-11,357,22,61669
133,2020-05-12,933,116,61669
134,2020-05-13,798,101,61669
135,2020-05-14,933,89,61669
136,2020-05-15,913,101,61669
137,2020-05-16,620,57,61669
138,2020-05-17,583,33,61669
139,2020-05-18,342,21,50927
140,2020-05-19,513,72,50927
141,2020-05-20,797,83,50927
142,2020-05-21,745,57,50927
143,2020-05-22,460,27,50927
144,2020-05-23,638,42,50927
145,2020-05-24,431,31,50927
146,2020-05-25,289,10,58297
147,2020-05-26,432,45,58297
148,2020-05-27,362,47,58297
149,2020-05-28,353,62,58297
150,2020-05-29,741,39,58297
151,2020-05-30,738,39,58297
152,2020-05-31,286,11,58297
